0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3
1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,4
1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,6
1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,7
1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,8
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,13
1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,14
1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,15
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,16
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,19
1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21
1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,29
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,30
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,31
0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,32
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38
1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,39
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,40
0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,41
0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,42
1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,43
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,44
0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,45
1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,48
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49
1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,50
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,51
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,52
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,56
1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,57
0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,58
1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,59
1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,62
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,65
0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,66
0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,67
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,68
0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,75
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,76
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,78
